Estación:       CUMBRE DE MTY I,  NL
Operada por:    SMN EMAS
Longitud:       100°23'23"  Longitud: 25°33'35"  Altitud: 1455

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL    TEMPCOMB     HUMCOMB     HUMSUBS    TEMPSUBS
27/01/2018 18:00          25           6       15.96       34.90        21.4          52       933.9         0.0       726.0        28.1          49           6        11.8
27/01/2018 19:00          25          27       17.03       38.50        22.0          51       932.8         0.0       724.5        31.5          34           6        12.2
27/01/2018 20:00          24          16       15.09       40.30        22.5          50       931.9         0.0       642.7        31.8          30           6        12.8
27/01/2018 21:00           8          27       11.79       40.70        22.2          51       931.4         0.0       448.3        29.5          32           6        13.5
27/01/2018 22:00          32          24        5.00       24.10        20.4          60       931.8         0.0       143.0        22.8          42           6        14.1
27/01/2018 23:00          15          20        7.87       24.80        19.2          66       932.7         0.0        31.5        19.9          53           6        14.6
28/01/2018 00:00          24          20        9.55       24.50        18.6          64       933.6         0.0         1.7        18.6          59           6        14.9
28/01/2018 01:00          24          15        7.80       22.00        18.3          62       934.6         0.0         0.0        18.0          61           6        15.0
28/01/2018 02:00         326         342        3.46       14.40        18.0          62       935.5         0.0         0.0        17.6          62           6        15.2
28/01/2018 03:00         211         217        2.98       11.50        17.5          65       936.1         0.0         0.0        17.0          64           6        15.2
28/01/2018 04:00          48          38        1.17        7.20        16.9          71       936.4         0.0         0.0        16.4          68           6        15.2
28/01/2018 05:00           7          30        2.39       15.80        16.3          74       936.5         0.0         0.0        15.8          70           6        15.2
28/01/2018 06:00          41          24        6.96       16.20        16.3          79       936.5         0.0         0.0        15.9          74           6        15.1
28/01/2018 07:00          19          15        7.31       18.00        16.0          84       936.4         0.0         0.0        15.7          76           6        15.0
28/01/2018 08:00          21          37        4.50       18.40        15.1          94       936.4         0.2         0.0        14.8          83           6        15.0
28/01/2018 09:00         242          18        3.43       11.90        14.6         100       936.3         0.0         0.0        14.3          89           6        15.0
28/01/2018 10:00         199          98        1.64        8.30        14.5         100       936.3         0.0         0.0        14.2          92           6        14.9
28/01/2018 11:00         248         222        1.34        4.70        14.3         100       936.3         0.2         0.0        14.1          94           6        14.9
28/01/2018 12:00         217         279        2.76        9.00        14.3         100       936.5         0.0         0.0        14.0          95           6        14.7
28/01/2018 13:00          79         358        0.86        5.00        14.3         100       937.2         0.0         0.2        14.0          96           6        14.7
28/01/2018 14:00         210         221        1.40        7.60        14.3         100       937.8         0.0        13.7        14.2          96           6        14.7
28/01/2018 15:00          38          31        2.73       10.80        14.6         100       938.3         0.0        66.8        14.9          96           6        14.6
28/01/2018 16:00          23          19        6.29       18.70        16.2          90       938.5         0.0       174.0        17.4          92           6        14.6
28/01/2018 17:00          23          18        9.09       18.70        17.2          79       938.1         0.0       188.8        19.1          82           6        14.6
28/01/2018 18:00         348          38        3.58       18.70        17.7          72       937.5         0.0       125.2        19.5          71           6        14.7
28/01/2018 19:00         351         329        6.30       21.20        17.0          70       936.8         0.0        83.5        18.1          67           6        14.7
28/01/2018 20:00         346         335       11.90       23.40        16.6          71       936.3         0.0        79.0        17.5          67           6        14.9
28/01/2018 21:00         310         305        9.24       22.00        16.1          71       936.2         0.0        55.0        16.8          67           6        15.0
28/01/2018 22:00         339         339       11.72       25.60        15.6          72       936.4         0.0        35.5        16.1          68           6        15.0
28/01/2018 23:00         352         341       11.81       22.70        15.2          73       936.8         0.0        16.2        15.4          70           6        15.0
29/01/2018 00:00         358         342        9.81       21.60        14.8          77       937.6         0.0         1.2        14.6          74           6        15.0
29/01/2018 01:00         274         296        5.61       20.50        14.2          83       938.5         0.0         0.0        13.7          79           6        15.0
29/01/2018 02:00         148         215        2.00       12.20        13.4          94       939.3         0.0         0.0        13.0          85           6        15.0
29/01/2018 03:00         111         135        1.88        6.80        13.2          98       939.7         0.0         0.0        13.0          88           6        14.9
29/01/2018 04:00         197         197        1.73        5.80        13.0          98       940.2         0.0         0.0        12.6          90           6        14.8
29/01/2018 05:00          96          71        2.76        6.50        12.9         100       940.5         0.0         0.0        12.6          90           6        14.7
29/01/2018 06:00         140          83        1.48        8.30        12.8         100       940.4         0.0         0.0        12.5          91           6        14.6
29/01/2018 07:00         187         218        2.10        4.70        12.5         100       940.4         0.0         0.0        12.1          92           6        14.6
29/01/2018 08:00          97          94        3.04        6.10        12.2         100       940.5         0.0         0.0        11.9          93           6        14.4
29/01/2018 09:00         132          86        1.75        6.10        12.1         100       940.7         0.0         0.0        11.7          93           6        14.4
29/01/2018 10:00         211         254        2.02        5.40        11.8         100       940.8         0.0         0.0        11.4          94           6        14.3
29/01/2018 11:00         150         123        2.05        6.50        11.9         100       941.1         0.0         0.0        11.6          94           6        14.3
