 00Z 05 04 2017,  0.00,  5.93
 12Z 05 04 2017,  0.00,  3.91
 00Z 06 04 2017,  0.00,  2.61
 12Z 06 04 2017,  0.00,  5.37
 00Z 07 04 2017,  0.00,  8.73
 12Z 07 04 2017,  0.00,  10.99
 00Z 08 04 2017,  0.00,  6.23
 12Z 08 04 2017,  0.00,  1.86
 00Z 09 04 2017,  0.00,  2.05
 12Z 09 04 2017,  0.00,  2.22
 00Z 10 04 2017,  0.00,  3.19
 12Z 10 04 2017,  0.00,  2.96
 00Z 11 04 2017,  0.00,  3.20
 12Z 11 04 2017,  0.00,  5.38
 00Z 12 04 2017,  0.00,  1.43
 12Z 12 04 2017,  0.00,  1.55
 00Z 13 04 2017,  0.00,  1.52
 12Z 13 04 2017,  0.00,  2.01
 00Z 14 04 2017,  0.00,  1.93
 12Z 14 04 2017,  0.00,  3.13
 00Z 15 04 2017,  0.00,  2.08
 12Z 15 04 2017,  0.00,  1.92
 00Z 16 04 2017,  0.00,  2.76
 12Z 16 04 2017,  0.00,  3.85
 00Z 17 04 2017,  0.00,  3.11
 12Z 17 04 2017,  0.00,  4.45
 00Z 18 04 2017,  0.00,  1.87
 12Z 18 04 2017,  0.00,  3.29
 00Z 19 04 2017,  0.00,  3.11
 12Z 19 04 2017,  0.00,  3.28
 00Z 20 04 2017,  0.00,  2.98
 12Z 20 04 2017,  0.00,  3.14
 00Z 21 04 2017,  0.00,  3.13
 12Z 21 04 2017,  0.00,  2.28
 00Z 22 04 2017,  0.00,  2.27
 12Z 22 04 2017,  0.00,  2.27
 00Z 23 04 2017,  0.00,  1.84
 12Z 23 04 2017,  0.00,  1.80
 00Z 24 04 2017,  0.00,  2.20
 12Z 24 04 2017,  0.00,  2.16
 00Z 25 04 2017,  0.00,  1.97
 12Z 25 04 2017,  0.00,  1.65
 00Z 26 04 2017,  0.00,  2.81
 12Z 26 04 2017,  0.00,  5.07
 00Z 27 04 2017,  0.00,  3.14
 12Z 27 04 2017,  0.00,  3.61
 00Z 28 04 2017,  0.00,  9.27
 12Z 28 04 2017,  0.00,  1.92
 00Z 29 04 2017,  0.00,  1.96
 12Z 29 04 2017,  0.00,  2.35
 00Z 30 04 2017,  0.00,  4.23
 12Z 30 04 2017,  0.00,  2.45
 00Z 01 05 2017,  0.00,  2.82
 12Z 01 05 2017,  0.00,  2.99
 00Z 02 05 2017,  0.00,  3.75
 12Z 02 05 2017,  0.00,  3.03
 00Z 03 05 2017,  0.00,  3.79
 12Z 03 05 2017,  0.00,  4.44
 00Z 04 05 2017,  0.00,  3.22
 12Z 04 05 2017,  0.00,  2.36
 00Z 05 05 2017,  0.00,  1.49
 12Z 05 05 2017,  0.00,  2.59
 00Z 06 05 2017,  0.00,  2.21
 12Z 06 05 2017,  0.00,  2.53
 00Z 07 05 2017,  0.00,  3.36
 12Z 07 05 2017,  0.00,  4.32
 00Z 08 05 2017,  0.00,  5.98
 12Z 08 05 2017,  0.00,  8.74
 00Z 09 05 2017,  0.00,  16.93
 12Z 09 05 2017,  0.00,  13.36
 00Z 10 05 2017,  0.00,  15.00
 12Z 10 05 2017,  0.00,  16.16
 00Z 11 05 2017,  0.00,  11.20
 12Z 11 05 2017,  0.00,  12.30
 00Z 12 05 2017,  0.00,  12.53
 12Z 12 05 2017,  0.00,  13.84
 00Z 13 05 2017,  0.00,  11.99
 12Z 13 05 2017,  0.00,  7.83
 00Z 14 05 2017,  0.00,  8.50
 12Z 14 05 2017,  0.00,  7.82
 00Z 15 05 2017,  0.00,  3.91
 12Z 15 05 2017,  0.00,  3.13
 00Z 16 05 2017,  0.00,  3.48
 12Z 16 05 2017,  0.00,  5.32
 00Z 17 05 2017,  0.00,  3.99
 12Z 17 05 2017,  0.00,  4.34
 00Z 18 05 2017,  0.00,  5.18
 12Z 18 05 2017,  0.00,  5.89
 00Z 19 05 2017,  0.00,  8.97
 12Z 19 05 2017,  0.00,  12.09
 00Z 20 05 2017,  0.00,  8.41
 12Z 20 05 2017,  0.00,  6.89
 00Z 21 05 2017,  0.00,  6.73
 12Z 21 05 2017,  0.00,  5.67
 00Z 22 05 2017,  0.00,  5.55
 12Z 22 05 2017,  0.00,  6.73
 00Z 23 05 2017,  0.00,  10.77
 12Z 23 05 2017,  0.00,  17.30
 00Z 24 05 2017,  0.00,  18.45
 12Z 24 05 2017,  0.00,  23.10
 00Z 25 05 2017,  0.00,  22.84
 12Z 25 05 2017,  0.00,  17.94
 00Z 26 05 2017,  0.00,  14.27
 12Z 26 05 2017,  0.00,  13.34
 00Z 27 05 2017,  0.00,  16.30
 12Z 27 05 2017,  0.00,  14.19
 00Z 28 05 2017,  0.00,  13.86
 12Z 28 05 2017,  0.00,  15.83
 00Z 29 05 2017,  0.00,  16.27
 12Z 29 05 2017,  0.00,  16.80
 00Z 30 05 2017,  0.00,  13.24
 12Z 30 05 2017,  0.00,  11.67
 00Z 31 05 2017,  0.00,  11.87
 12Z 31 05 2017,  0.00,  11.89
 00Z 01 06 2017,  0.42 ,  7.42
 12Z 01 06 2017,  0.02 ,  6.33
 00Z 02 06 2017,  0.00,  7.11
 12Z 02 06 2017,  0.00,  7.82
 00Z 03 06 2017,  0.00,  9.40
 12Z 03 06 2017,  0.00,  15.55
 00Z 04 06 2017,  0.00,  20.99
 12Z 04 06 2017,  0.00,  24.61
 00Z 05 06 2017,  0.00,  16.18
 12Z 05 06 2017,  0.00,  16.63
 00Z 06 06 2017,  0.00,  26.47
 12Z 06 06 2017,  0.00,  26.92
 00Z 07 06 2017,  0.00,  17.96
 12Z 07 06 2017,  0.00,  14.15
 00Z 08 06 2017,  0.00,  14.28
 12Z 08 06 2017,  0.00,  6.95
 00Z 09 06 2017,  0.00,  8.99
 12Z 09 06 2017,  0.27 ,  7.34
 00Z 10 06 2017,  0.54 ,  8.21
 12Z 10 06 2017,  0.00,  7.45
 00Z 11 06 2017,  0.00,  7.79
 12Z 11 06 2017,  0.00,  8.14
 00Z 12 06 2017,  3.22 ,  11.58
 12Z 12 06 2017,  0.00,  9.84
 00Z 13 06 2017,  0.00,  11.22
 12Z 13 06 2017,  0.00,  8.36
 00Z 14 06 2017,  0.00,  12.93
 12Z 14 06 2017,  0.00,  18.17
 00Z 15 06 2017,  0.00,  9.64
 12Z 15 06 2017,  0.00,  7.82
 00Z 16 06 2017,  0.00,  8.93
 12Z 16 06 2017,  0.00,  10.98
 00Z 17 06 2017,  0.00,  12.81
 12Z 17 06 2017,  0.00,  12.04
 00Z 18 06 2017,  0.00,  18.97
 12Z 18 06 2017,  0.00,  14.97
 00Z 19 06 2017,  5.36 ,  20.35
 12Z 19 06 2017,  0.00,  19.18
 00Z 20 06 2017,  0.00,  8.77
 12Z 20 06 2017,  0.00,  7.56
 00Z 21 06 2017,  0.00,  10.99
 12Z 21 06 2017,  0.00,  12.28
 00Z 22 06 2017,  0.00,  9.94
 12Z 22 06 2017,  0.14 ,  9.89
 00Z 23 06 2017,  0.00,  8.18
 12Z 23 06 2017,  0.00,  8.15
 00Z 24 06 2017,  0.00,  10.43
 12Z 24 06 2017,  0.00,  11.46
 00Z 25 06 2017,  0.00,  13.87
 12Z 25 06 2017,  0.97 ,  10.40
 00Z 26 06 2017,  0.00,  19.34
 12Z 26 06 2017,  0.00,  16.76
 00Z 27 06 2017,  20.61 ,  18.78
 12Z 27 06 2017,  0.00,  13.58
 00Z 28 06 2017,  0.00,  11.20
 12Z 28 06 2017,  0.00,  14.48
 00Z 29 06 2017,  0.00,  11.33
 12Z 29 06 2017,  0.00,  14.48
 00Z 30 06 2017,  0.00,  16.53
 12Z 30 06 2017,  0.00,  15.86
 00Z 01 07 2017,  0.00,  15.63
 12Z 01 07 2017,  0.00,  15.48
 00Z 02 07 2017,  5.25 ,  15.17
 12Z 02 07 2017,  0.00,  17.43
 00Z 03 07 2017,  0.00,  14.55
 12Z 03 07 2017,  0.00,  13.23
 00Z 04 07 2017,  0.00,  17.18
 12Z 04 07 2017,  0.00,  19.37
 00Z 05 07 2017,  8.67 ,  27.23
 12Z 05 07 2017,  42.27 ,  21.57
 00Z 06 07 2017,  0.00,  12.81
 12Z 06 07 2017,  0.00,  13.03
 00Z 07 07 2017,  36.84 ,  23.59
 12Z 07 07 2017,  0.00,  20.65
 00Z 08 07 2017,  12.91 ,  13.48
 12Z 08 07 2017,  0.00,  8.46
 00Z 09 07 2017,  0.00,  9.40
 12Z 09 07 2017,  0.00,  11.18
 00Z 10 07 2017,  0.00,  16.66
 12Z 10 07 2017,  0.00,  14.87
 00Z 11 07 2017,  0.00,  16.28
 12Z 11 07 2017,  0.00,  19.76
 00Z 12 07 2017,  0.00,  17.76
 12Z 12 07 2017,  0.00,  18.07
 00Z 13 07 2017,  0.00,  13.89
 12Z 13 07 2017,  0.00,  16.35
 00Z 14 07 2017,  0.00,  12.43
 12Z 14 07 2017,  0.00,  12.66
 00Z 15 07 2017,  0.00,  17.41
 12Z 15 07 2017,  0.00,  18.00
 00Z 16 07 2017,  0.00,  23.61
 12Z 16 07 2017,  0.00,  23.24
 00Z 17 07 2017,  0.00,  26.01
 12Z 17 07 2017,  11.71 ,  10.04
 00Z 18 07 2017,  21.83 ,  11.33
 12Z 18 07 2017,  0.00,  12.34
 00Z 19 07 2017,  1.60,  14.92
 12Z 19 07 2017,  0.00,  12.19
 00Z 20 07 2017,  31.49 ,  12.16
 00Z 22 07 2017,  0.00,  3.99
 12Z 22 07 2017,  0.00,  2.80
 00Z 23 07 2017,  0.00,  4.07
 12Z 23 07 2017,  0.00,  21.25
 00Z 25 07 2017,  0.00,  17.46
 03Z 25 07 2017,  0.00,  19.83
 12Z 25 07 2017,  0.00,  12.66
 00Z 26 07 2017,  0.00,  18.15
 12Z 26 07 2017,  0.00,  17.37
 00Z 27 07 2017,  19.22 ,  13.73
 12Z 27 07 2017,  11.62 ,  11.32
 00Z 28 07 2017,  0.94 ,  12.94
 12Z 28 07 2017,  0.27 ,  13.23
 00Z 29 07 2017,  0.00,  18.34
 12Z 29 07 2017,  0.00,  14.77
 00Z 30 07 2017,  0.00,  10.51
 12Z 30 07 2017,  0.00,  16.83
 00Z 31 07 2017,  0.00,  13.96
 12Z 31 07 2017,  8.83 ,  20.08
 00Z 01 08 2017,  0.00,  9.19
 12Z 01 08 2017,  0.00,  10.50
 00Z 02 08 2017,  0.26 ,  11.57
 12Z 02 08 2017,  0.81 ,  11.96
 00Z 03 08 2017,  0.00,  9.11
 12Z 03 08 2017,  0.00,  8.82
 00Z 04 08 2017,  0.00,  9.24
 12Z 04 08 2017,  0.00,  15.23
 00Z 05 08 2017,  0.00,  22.44
 12Z 05 08 2017,  0.00,  27.52
 00Z 06 08 2017,  65.47 ,  28.33
 12Z 06 08 2017,  0.00,  21.83
 00Z 07 08 2017,  3.73 ,  13.42
 12Z 07 08 2017,  0.00,  20.80
 00Z 08 08 2017,  1.74 ,  17.51
 12Z 08 08 2017,  0.00,  12.41
 00Z 09 08 2017,  0.00,  11.45
 12Z 09 08 2017,  0.00,  21.55
 00Z 10 08 2017,  0.00,  23.99
 12Z 10 08 2017,  0.00,  10.41
 00Z 11 08 2017,  0.00,  16.13
 12Z 11 08 2017,  0.00,  27.47
 00Z 12 08 2017,  0.00,  28.02
 12Z 12 08 2017,  0.00,  29.14
 00Z 13 08 2017,  14.67 ,  27.58
 12Z 13 08 2017,  0.00,  28.36
 00Z 14 08 2017,  114.48 ,  27.77
 12Z 14 08 2017,  0.00,  22.20
 00Z 15 08 2017,  0.00,  25.16
 12Z 15 08 2017,  0.00,  26.88
 00Z 16 08 2017,  0.11 ,  26.83
 12Z 16 08 2017,  0.00,  22.56
 00Z 17 08 2017,  0.00,  21.11
 12Z 17 08 2017,  1.27 ,  22.93
 00Z 18 08 2017,  0.00,  12.08
 12Z 18 08 2017,  0.00,  9.33
 00Z 19 08 2017,  0.00,  18.42
 12Z 19 08 2017,  0.00,  22.70
 00Z 20 08 2017,  0.00,  23.54
 12Z 20 08 2017,  0.00,  22.98
 00Z 21 08 2017,  0.00,  6.01
 12Z 21 08 2017,  0.00,  6.99
 00Z 22 08 2017,  0.00,  6.96
 12Z 22 08 2017,  0.00,  10.24
